route_id	stop_id	stop_name	stop_lon	stop_lat	OperatorName	Nom_commune	Code_insee
IDFM:C01376	IDFM:463114	Boissière	2.2900328376074373	48.8668483434173	RATP	Paris	75056
IDFM:C01376	IDFM:463101	Passy	2.2855802300954733	48.8575315296204	RATP	Paris	75056
IDFM:C01376	IDFM:463292	Raspail	2.3304144712354793	48.8390661288004	RATP	Paris	75056
IDFM:C01376	IDFM:463098	Picpus	2.4012745388223746	48.84510324750185	RATP	Paris	75056
IDFM:C01371	IDFM:22100	Les Sablons	2.271904762259129	48.88129083793358	RATP	Neuilly-sur-Seine	92051
IDFM:C01371	IDFM:463019	Bastille	2.368692796099789	48.85196422011205	RATP	Paris	75056
IDFM:C01371	IDFM:22083	Gare de Lyon	2.3731565937892047	48.8456832067358	RATP	Paris	75056
IDFM:C01371	IDFM:22076	Reuilly - Diderot	2.386056169673362	48.84723403765801	RATP	Paris	75056
IDFM:C01371	IDFM:22080	Nation	2.3958439887237373	48.848084289973976	RATP	Paris	75056
IDFM:C01374	IDFM:463073	Porte de Clignancourt	2.344624099102791	48.897525631278015	RATP	Paris	75056
IDFM:C01374	IDFM:462979	Château d'Eau	2.3559014497805357	48.87247308911766	RATP	Paris	75056
IDFM:C01374	IDFM:22092	Châtelet	2.3466414308440138	48.859661211559086	RATP	Paris	75056
IDFM:C01374	IDFM:463104	Denfert-Rochereau	2.332018835216387	48.83394869369227	RATP	Paris	75056
IDFM:C01374	IDFM:22140	Porte d'Orléans	2.3254932653821045	48.823416351140224	RATP	Paris	75056
IDFM:C01374	IDFM:463222	Mairie de Montrouge	2.3196193991237846	48.818454456190004	RATP	Montrouge	92049
IDFM:C01374	IDFM:463291	Raspail	2.3307802165662403	48.83910415024143	RATP	Paris	75056
IDFM:C01374	IDFM:463308	Saint-Placide	2.327054815066312	48.84700665158937	RATP	Paris	75056
IDFM:C01374	IDFM:22136	Saint-Germain-des-Prés	2.333947810798194	48.85357456382241	RATP	Paris	75056
IDFM:C01374	IDFM:22142	Réaumur - Sébastopol	2.352613903045621	48.86604305354321	RATP	Paris	75056
IDFM:C01374	IDFM:22134	Strasbourg - Saint-Denis	2.354491616563834	48.86962358263758	RATP	Paris	75056
IDFM:C01374	IDFM:22152	Château Rouge	2.3495819680256593	48.887241930648955	RATP	Paris	75056
IDFM:C01376	IDFM:22174	Chevaleret	2.368081282972743	48.83496308210916	RATP	Paris	75056
IDFM:C01376	IDFM:463004	Nationale	2.3628041715935075	48.83323527967617	RATP	Paris	75056
