stop_id	stop_name	parent_station
IDFM:monomodalStopPlace:44559	Cergy Préfecture	IDFM:66696
IDFM:monomodalStopPlace:47174	Champbenoist Poigny	IDFM:62064
IDFM:monomodalStopPlace:411338	Trie-Château	IDFM:411339
IDFM:monomodalStopPlace:43140	La Courneuve - Aubervilliers	IDFM:72598
IDFM:monomodalStopPlace:45493	Pont Cardinet	IDFM:71475
IDFM:monomodalStopPlace:47885	Plaisir - Grignon	IDFM:64199
IDFM:monomodalStopPlace:47918	Auvers-sur-Oise	IDFM:67027
IDFM:monomodalStopPlace:47942	Mortcerf	IDFM:67805
IDFM:monomodalStopPlace:47901	Le Raincy - Villemomble - Montfermeil	IDFM:73297
IDFM:monomodalStopPlace:470519	Gare de l'Est	IDFM:71359
IDFM:monomodalStopPlace:46477	Champ de Courses d'Enghien	IDFM:65663
IDFM:monomodalStopPlace:43223	Villiers-sur-Marne - Le Plessis-Trévise	IDFM:73097
IDFM:monomodalStopPlace:47881	Les Mureaux	IDFM:65994
IDFM:monomodalStopPlace:43181	Plaisir - Les Clayes	IDFM:64195
IDFM:monomodalStopPlace:47205	Guérard - La Celle-sur-Morin	IDFM:67924
IDFM:monomodalStopPlace:43163	Meudon Val Fleury	IDFM:70412
IDFM:monomodalStopPlace:43084	Issy	IDFM:70612
IDFM:monomodalStopPlace:44628	Louvres	IDFM:69300
IDFM:monomodalStopPlace:43190	Sarcelles - Saint-Brice	IDFM:66079
IDFM:monomodalStopPlace:47525	Viarmes	IDFM:67176
IDFM:monomodalStopPlace:51494	Osny	IDFM:66977
IDFM:monomodalStopPlace:43145	La Plaine Stade de France	IDFM:72211
IDFM:monomodalStopPlace:474082	Noisy-le-Grand - Mont d'Est	IDFM:412697
IDFM:monomodalStopPlace:43203	Saint-Ouen	IDFM:72126
IDFM:monomodalStopPlace:46857	Beynes	IDFM:64338
IDFM:monomodalStopPlace:43115	Corbeil-Essonnes	IDFM:60309
IDFM:monomodalStopPlace:47924	Boussy-Saint-Antoine	IDFM:62596
IDFM:monomodalStopPlace:47491	Crouy-sur-Ourcq	IDFM:69435
IDFM:monomodalStopPlace:47951	Seugy	IDFM:67180
IDFM:monomodalStopPlace:43133	Groslay	IDFM:65749
IDFM:monomodalStopPlace:43109	Chilly-Mazarin	IDFM:62939
IDFM:monomodalStopPlace:46801	Boissy-l'Aillerie	IDFM:67056
IDFM:monomodalStopPlace:411329	Saint-Leu-d'Esserent	IDFM:411330
IDFM:monomodalStopPlace:43215	Vauboyen	IDFM:63454
IDFM:monomodalStopPlace:412743	Saint-Denis	IDFM:72323
IDFM:monomodalStopPlace:47171	Sainte-Colombe Septveilles	IDFM:61961
IDFM:monomodalStopPlace:54249	Les Clairières de Verneuil	IDFM:65985
IDFM:monomodalStopPlace:47906	Évry - Courcouronnes	IDFM:60450
IDFM:monomodalStopPlace:47684	Montgeron - Crosne	IDFM:63072
IDFM:monomodalStopPlace:43078	Épinay - Villetaneuse	IDFM:65227
IDFM:monomodalStopPlace:47930	Chars	IDFM:67352
IDFM:monomodalStopPlace:43110	Choisy-le-Roi	IDFM:69852
IDFM:monomodalStopPlace:47900	Val de Fontenay	IDFM:71718
IDFM:monomodalStopPlace:58873	Brunoy	IDFM:67476
IDFM:monomodalStopPlace:47929	Chanteloup-les-Vignes	IDFM:65443
IDFM:monomodalStopPlace:47963	Vaucelles	IDFM:66520
IDFM:monomodalStopPlace:43090	Bessancourt	IDFM:66672
IDFM:monomodalStopPlace:58774	Massy - Palaiseau	IDFM:63244
IDFM:monomodalStopPlace:53784	Le Vésinet - Centre	IDFM:64514
IDFM:monomodalStopPlace:47130	Moret - Veneux-les-Sablons	IDFM:61410
IDFM:monomodalStopPlace:479059	Rosny-sur-Seine	IDFM:66157
IDFM:monomodalStopPlace:43072	Gare d'Austerlitz	IDFM:71135
IDFM:monomodalStopPlace:422065	Le Val d'Or	IDFM:422067
IDFM:monomodalStopPlace:43186	Robinson	IDFM:427230
IDFM:monomodalStopPlace:44411	Pontoise	IDFM:66816
IDFM:monomodalStopPlace:43196	Saint-Cloud	IDFM:73749
IDFM:monomodalStopPlace:47591	Chaponval	IDFM:67016
IDFM:monomodalStopPlace:43221	Villepreux - Les Clayes	IDFM:64145
IDFM:monomodalStopPlace:411488	Ferrières - Fontenay	IDFM:411489
IDFM:monomodalStopPlace:411345	Chaumont-en-Vexin	IDFM:411346
IDFM:monomodalStopPlace:47325	Montry - Condé	IDFM:68582
IDFM:monomodalStopPlace:43127	Le Chénay Gagny	IDFM:73266
IDFM:monomodalStopPlace:57674	Petit Jouy Les Loges	IDFM:63594
IDFM:monomodalStopPlace:43168	Montsoult - Maffliers	IDFM:67000
IDFM:monomodalStopPlace:44801	Saint-Maur - Créteil	IDFM:70393
IDFM:monomodalStopPlace:43151	Limay	IDFM:65788
IDFM:monomodalStopPlace:462901	Ozoir-la-Ferrière	IDFM:462934
IDFM:monomodalStopPlace:43066	Antony	IDFM:69759
IDFM:monomodalStopPlace:47585	Mériel	IDFM:67065
IDFM:monomodalStopPlace:43238	Gare Montparnasse	IDFM:71139
IDFM:monomodalStopPlace:46395	Athis-Mons	IDFM:63134
IDFM:monomodalStopPlace:43091	Bièvres	IDFM:63404
IDFM:monomodalStopPlace:43156	Maisse	IDFM:59470
IDFM:monomodalStopPlace:45860	Grand Bourg	IDFM:73627
IDFM:monomodalStopPlace:58874	Bussy-Saint-Georges	IDFM:68105
IDFM:monomodalStopPlace:53783	Chatou - Croissy	IDFM:64483
IDFM:monomodalStopPlace:44500	Port Royal	IDFM:71106
IDFM:monomodalStopPlace:47935	Houdan	IDFM:63893
IDFM:monomodalStopPlace:43073	Écouen - Ézanville	IDFM:66533
IDFM:monomodalStopPlace:43222	Villiers-le-Bel - Gonesse - Arnouville	IDFM:66009
IDFM:monomodalStopPlace:47969	Les Vallées	IDFM:72177
IDFM:monomodalStopPlace:58566	Gare Saint-Lazare	IDFM:71370
IDFM:monomodalStopPlace:474069	Lozère	IDFM:63029
IDFM:monomodalStopPlace:47590	Champagne-sur-Oise	IDFM:67241
IDFM:monomodalStopPlace:46035	Chemin d'Antony	IDFM:69682
IDFM:monomodalStopPlace:43126	Franconville - Le Plessis-Bouchard	IDFM:66005
IDFM:monomodalStopPlace:43607	Laplace	IDFM:70427
IDFM:monomodalStopPlace:415484	Égly	IDFM:60052
IDFM:monomodalStopPlace:43209	Trappes	IDFM:463850
IDFM:monomodalStopPlace:411387	Ormoy-Villers	IDFM:411388
IDFM:monomodalStopPlace:43191	Sartrouville	IDFM:64918
IDFM:monomodalStopPlace:43239	Marne-la-Vallée Chessy	IDFM:68385
IDFM:monomodalStopPlace:47484	Isles - Armentières - Congis	IDFM:69162
IDFM:monomodalStopPlace:45812	Ponthierry - Pringy	IDFM:61976
IDFM:monomodalStopPlace:47886	Nogent-sur-Marne	IDFM:71590
IDFM:monomodalStopPlace:58572	Magenta	IDFM:478733
IDFM:monomodalStopPlace:47158	Nangis	IDFM:62168
IDFM:monomodalStopPlace:411405	Le Plessis-Belleville	IDFM:411406
IDFM:monomodalStopPlace:415093	Neuilly Porte Maillot	IDFM:71379
IDFM:monomodalStopPlace:46965	Mantes Station	IDFM:65770
IDFM:monomodalStopPlace:58270	Champigny	IDFM:73042
IDFM:monomodalStopPlace:46307	Villeneuve-le-Roi	IDFM:69625
IDFM:monomodalStopPlace:464040	Le Vert de Maisons	IDFM:73624
IDFM:monomodalStopPlace:43245	Nemours - Saint-Pierre / Gare Foljuif	IDFM:61218
IDFM:monomodalStopPlace:43103	Bures-sur-Yvette	IDFM:62851
IDFM:monomodalStopPlace:43067	Arcueil - Cachan	IDFM:70263
IDFM:monomodalStopPlace:43180	Pierrelaye	IDFM:66491
IDFM:monomodalStopPlace:47875	Argenteuil	IDFM:65063
IDFM:monomodalStopPlace:47596	Gare Épluches	IDFM:66915
IDFM:monomodalStopPlace:44161	Montgeroult - Courcelles	IDFM:67076
IDFM:monomodalStopPlace:43162	Meudon	IDFM:70515
IDFM:monomodalStopPlace:43227	Les Ardoines	IDFM:70064
IDFM:monomodalStopPlace:47911	Fontainebleau - Avon	IDFM:61579
IDFM:monomodalStopPlace:45735	Vigneux-sur-Seine	IDFM:63071
IDFM:monomodalStopPlace:47952	Saint-Chéron	IDFM:59882
IDFM:monomodalStopPlace:411482	Montargis	IDFM:411483
IDFM:monomodalStopPlace:411381	Chézy-sur-Marne	IDFM:411382
IDFM:monomodalStopPlace:47923	Bécon les Bruyères	IDFM:72124
IDFM:monomodalStopPlace:43144	La Grande-Paroisse	IDFM:61412
IDFM:monomodalStopPlace:58879	Chelles - Gournay	IDFM:68407
IDFM:monomodalStopPlace:43179	Pierrefitte - Stains	IDFM:72787
IDFM:monomodalStopPlace:45824	Le Coudray-Montceaux	IDFM:59953
IDFM:monomodalStopPlace:47603	Herblay	IDFM:65897
IDFM:monomodalStopPlace:47905	Bouray	IDFM:59830
IDFM:monomodalStopPlace:43204	Stade de France Saint-Denis	IDFM:72206
IDFM:monomodalStopPlace:46366	Ivry-sur-Seine	IDFM:424396
IDFM:monomodalStopPlace:47898	Ermont - Eaubonne	IDFM:65669
IDFM:monomodalStopPlace:43121	Dourdan	IDFM:59836
IDFM:monomodalStopPlace:43096	Bondy	IDFM:72037
IDFM:monomodalStopPlace:43251	Garges - Sarcelles	IDFM:65582
IDFM:monomodalStopPlace:411375	Mareuil-sur-Ourcq	IDFM:411376
IDFM:monomodalStopPlace:47946	Presles - Courcelles	IDFM:67169
IDFM:monomodalStopPlace:43237	Le Vésinet - Le Pecq	IDFM:64582
IDFM:monomodalStopPlace:43102	Buno - Gironville	IDFM:59447
IDFM:monomodalStopPlace:47928	Changis - Saint-Jean	IDFM:68980
IDFM:monomodalStopPlace:45301	Bibliothèque François Mitterrand	IDFM:71572
IDFM:monomodalStopPlace:46897	Meulan - Hardricourt	IDFM:66321
IDFM:monomodalStopPlace:47876	Goussainville	IDFM:66535
IDFM:monomodalStopPlace:43149	Lardy	IDFM:59761
IDFM:monomodalStopPlace:46568	Roissy-en-Brie	IDFM:67839
IDFM:monomodalStopPlace:47595	Pont Petit	IDFM:66952
IDFM:monomodalStopPlace:44493	Bagneux	IDFM:70210
IDFM:monomodalStopPlace:43219	Versailles Chantiers	IDFM:63880
IDFM:monomodalStopPlace:46902	Thun le Paradis	IDFM:66334
IDFM:monomodalStopPlace:411440	Creil	IDFM:411441
IDFM:monomodalStopPlace:47964	Vernouillet - Verneuil	IDFM:65691
IDFM:monomodalStopPlace:47894	Crécy-la-Chapelle	IDFM:68293
IDFM:monomodalStopPlace:47665	Savigny-le-Temple - Nandy	IDFM:62290
IDFM:monomodalStopPlace:58793	Villepinte	IDFM:73547
IDFM:monomodalStopPlace:43044	Gagny	IDFM:73278
IDFM:monomodalStopPlace:47888	Gif-sur-Yvette	IDFM:62890
IDFM:monomodalStopPlace:47530	Nointel - Mours	IDFM:67227
IDFM:monomodalStopPlace:46222	Vert Galant	IDFM:73482
IDFM:monomodalStopPlace:43097	Bourg-la-Reine	IDFM:70033
IDFM:monomodalStopPlace:43220	Versailles Château Rive Gauche	IDFM:73721
IDFM:monomodalStopPlace:43207	Torcy	IDFM:68129
IDFM:monomodalStopPlace:47934	Gravigny Balizy	IDFM:62667
IDFM:monomodalStopPlace:47958	Survilliers - Fosses	IDFM:69450
IDFM:monomodalStopPlace:43080	Étampes	IDFM:478855
IDFM:monomodalStopPlace:43137	Juziers	IDFM:65988
IDFM:monomodalStopPlace:47184	Mormant	IDFM:62351
IDFM:monomodalStopPlace:58757	Champ de Mars Tour Eiffel	IDFM:73844
IDFM:monomodalStopPlace:47517	Bouffémont - Moisselles	IDFM:66795
IDFM:monomodalStopPlace:43167	Montreuil	IDFM:63989
IDFM:monomodalStopPlace:43120	Domont	IDFM:66654
IDFM:monomodalStopPlace:46850	Montfort-l'Amaury - Méré	IDFM:63955
IDFM:monomodalStopPlace:43150	Saint-Ouen-l'Aumône Liesse	IDFM:66659
IDFM:monomodalStopPlace:47125	Montigny-sur-Loing	IDFM:61327
IDFM:monomodalStopPlace:46387	Ablon	IDFM:69554
IDFM:monomodalStopPlace:47589	L'Isle-Adam - Parmain	IDFM:67172
IDFM:monomodalStopPlace:45771	Combs-la-Ville - Quincy	IDFM:62558
IDFM:monomodalStopPlace:45759	Essonnes Robinson	IDFM:422776
IDFM:monomodalStopPlace:44199	Noisiel	IDFM:68153
IDFM:monomodalStopPlace:45705	Musée d'Orsay	IDFM:71269
IDFM:monomodalStopPlace:43202	Saint-Michel-sur-Orge	IDFM:60536
IDFM:monomodalStopPlace:411428	Chantilly - Gouvieux	IDFM:411429
IDFM:monomodalStopPlace:43114	Conflans Fin d'Oise	IDFM:73605
IDFM:monomodalStopPlace:45102	Châtelet les Halles	IDFM:474151
IDFM:monomodalStopPlace:47922	Us	IDFM:67131
IDFM:monomodalStopPlace:45877	Gentilly	IDFM:70543
IDFM:monomodalStopPlace:59038	Vernon - Giverny	IDFM:74127
IDFM:monomodalStopPlace:43108	Chaville Rive Gauche	IDFM:73718
IDFM:monomodalStopPlace:473890	Denfert-Rochereau	IDFM:71056
IDFM:monomodalStopPlace:43132	Grigny Centre	IDFM:60797
IDFM:monomodalStopPlace:47940	Massy - Verrières	IDFM:63320
IDFM:monomodalStopPlace:43079	Éragny - Neuville	IDFM:66484
IDFM:monomodalStopPlace:43192	Savigny-sur-Orge	IDFM:60987
IDFM:monomodalStopPlace:45067	Villeneuve-Saint-Georges	IDFM:69568
IDFM:monomodalStopPlace:46304	Villeneuve Triage	IDFM:69671
IDFM:monomodalStopPlace:43225	Viry-Châtillon	IDFM:60981
IDFM:monomodalStopPlace:47916	Andrésy	IDFM:65542
IDFM:monomodalStopPlace:473843	Cité Universitaire	IDFM:70623
IDFM:monomodalStopPlace:43068	Arpajon	IDFM:60072
IDFM:monomodalStopPlace:46163	Le Blanc-Mesnil	IDFM:72648
IDFM:monomodalStopPlace:47953	Saint-Mammès	IDFM:61423
IDFM:monomodalStopPlace:47124	Bourron-Marlotte - Grez	IDFM:61318
IDFM:monomodalStopPlace:43161	Meaux	IDFM:68963
IDFM:monomodalStopPlace:43113	Colombes	IDFM:72244
IDFM:monomodalStopPlace:47910	Montereau	IDFM:61414
IDFM:monomodalStopPlace:43131	Gretz-Armainvilliers	IDFM:67658
IDFM:monomodalStopPlace:43143	La Frette - Montigny	IDFM:65659
IDFM:monomodalStopPlace:470195	Gare de Lyon	IDFM:73626
IDFM:monomodalStopPlace:47939	La Norville - Saint-Germain-lès-Arpajon	IDFM:60115
IDFM:monomodalStopPlace:46886	Maule	IDFM:64674
IDFM:monomodalStopPlace:43086	Orsay Ville	IDFM:62892
IDFM:monomodalStopPlace:59301	Gisors	IDFM:74348
IDFM:monomodalStopPlace:47654	Bois-le-Roi	IDFM:61727
IDFM:monomodalStopPlace:43178	Persan - Beaumont	IDFM:67292
IDFM:monomodalStopPlace:43107	Chartrettes	IDFM:61763
IDFM:monomodalStopPlace:47899	Mennecy	IDFM:59984
IDFM:monomodalStopPlace:58798	Pont du Garigliano - Hôpital Européen G. Pompidou	IDFM:74002
IDFM:monomodalStopPlace:43226	Yerres	IDFM:63044
IDFM:monomodalStopPlace:47904	Villabé	IDFM:60124
IDFM:monomodalStopPlace:47588	Valmondois	IDFM:67107
IDFM:monomodalStopPlace:45419	Avenue du Président Kennedy Maison de Radio France	IDFM:71212
IDFM:monomodalStopPlace:46984	Bonnières	IDFM:66741
IDFM:monomodalStopPlace:58792	Sucy - Bonneuil	IDFM:72929
IDFM:monomodalStopPlace:43074	Émerainville - Pontault-Combault	IDFM:67897
IDFM:monomodalStopPlace:45437	Avenue Foch	IDFM:71321
IDFM:monomodalStopPlace:58875	Rueil-Malmaison	IDFM:70902
IDFM:monomodalStopPlace:44787	Rungis la Fraternelle	IDFM:69633
IDFM:monomodalStopPlace:47118	Souppes - Château-Landon	IDFM:61094
IDFM:monomodalStopPlace:47882	Épône - Mézières	IDFM:65326
IDFM:monomodalStopPlace:47447	Conflans-Sainte-Honorine	IDFM:66095
IDFM:monomodalStopPlace:47927	Gare de Chamarande	IDFM:59734
IDFM:monomodalStopPlace:47524	Belloy - Saint-Martin	IDFM:67126
IDFM:monomodalStopPlace:43184	Puteaux	IDFM:71422
IDFM:monomodalStopPlace:47909	Melun	IDFM:61926
IDFM:monomodalStopPlace:46299	Orly Ville	IDFM:69639
IDFM:monomodalStopPlace:47136	Vulaines-sur-Seine - Samoreau	IDFM:61630
IDFM:monomodalStopPlace:43125	Fontenay-aux-Roses	IDFM:70133
IDFM:monomodalStopPlace:43214	Vanves - Malakoff	IDFM:70584
IDFM:monomodalStopPlace:462357	Issy Val de Seine	IDFM:71016
IDFM:monomodalStopPlace:47770	Garches - Marnes-la-Coquette	IDFM:70713
IDFM:monomodalStopPlace:43232	Le Guichet	IDFM:63025
IDFM:monomodalStopPlace:43198	Saint-Germain-en-Laye	IDFM:64589
IDFM:monomodalStopPlace:58288	Les Yvris Noisy-le-Grand	IDFM:73096
IDFM:monomodalStopPlace:47412	La Garenne-Colombes	IDFM:72148
IDFM:monomodalStopPlace:43208	Tournan	IDFM:67625
IDFM:monomodalStopPlace:46990	Saint-Cyr	IDFM:73731
IDFM:monomodalStopPlace:43166	Montigny - Beauchamp	IDFM:66335
IDFM:monomodalStopPlace:462398	Aéroport CDG 1 (Terminal 3) - RER	IDFM:73596
IDFM:monomodalStopPlace:43092	Boigneville	IDFM:59420
IDFM:monomodalStopPlace:47959	Tacoignières - Richebourg	IDFM:64194
IDFM:monomodalStopPlace:43075	Enghien-les-Bains	IDFM:65485
IDFM:monomodalStopPlace:58937	Noisy - Champs	IDFM:73163
IDFM:monomodalStopPlace:47599	Saint-Ouen-l'Aumône	IDFM:66803
IDFM:monomodalStopPlace:470540	Invalides	IDFM:71274
